,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
46,Denmark,11870.0,12903.0,14217.0,15165.0,16382.0,17580.0,18794.0,19276.0,19936.0,20849.0,21924.0,22932.0,23842.0,24322.0,26084.0,27338.0,28454.0,29752.0,30638.0,31873.0,33713.0,34631.0,35209.0,35942.0,37792.0,39789.0,42495.0,43881.0,44261.0,42085.0,43204.0,44483.0,44893,46829,48040,49265,52160,55673,57812,59469,58816,64046,69845,72167,74792,77255,79836,82529
47,Djibouti,,,,,,,,,,,,2724.0,2764.0,2624.0,2627.0,2556.0,2454.0,2402.0,2361.0,2396.0,2407.0,2453.0,2524.0,2611.0,2713.0,2842.0,3027.0,3221.0,3427.0,3456.0,3589.0,3869.0,3958,4104,4289,4563,4695,4905,5181,5482,5533,5954,6514,6990,7469,7962,8498,9076
48,Dominica,,2044.0,2268.0,2425.0,2628.0,2759.0,3025.0,3307.0,3705.0,3857.0,4233.0,4451.0,4644.0,4857.0,4962.0,5219.0,5479.0,5695.0,5976.0,6081.0,6364.0,6503.0,6422.0,6969.0,7380.0,7667.0,8278.0,9048.0,9885.0,9839.0,10038.0,10336.0,10158,10344,11015,11140,11962,11666,12361,12775,10615,11532,13030,14089,14971,15793,16410,17065
49,Dominican Republic,2429.0,2711.0,2861.0,3038.0,3112.0,3068.0,3162.0,3483.0,3598.0,3819.0,3672.0,3767.0,4208.0,4541.0,4677.0,4963.0,5270.0,5746.0,6102.0,6458.0,6812.0,7040.0,7372.0,7316.0,7608.0,8480.0,9435.0,10293.0,10704.0,10758.0,11672.0,12158.0,12208,12818,13859,15186,16626,17301,18773,19896,18620,21583,24120,25874,27497,29154,30923,32810
50,Ecuador,3243.0,3586.0,3747.0,3681.0,3869.0,4058.0,4160.0,3909.0,4357.0,4432.0,4626.0,4914.0,5092.0,5204.0,5429.0,5562.0,5664.0,5916.0,6086.0,5794.0,5902.0,6139.0,6351.0,6540.0,7143.0,7661.0,8101.0,8352.0,8892.0,8838.0,9091.0,9843.0,10280,11106,11658,11015,11009,11624,11880,11923,10973,11748,12763,13383,13850,14301,14773,15266
51,Egypt,2183.0,2375.0,2633.0,2900.0,3158.0,3402.0,3544.0,3705.0,3909.0,4093.0,4307.0,4454.0,4477.0,4571.0,4769.0,4973.0,5203.0,5484.0,5848.0,6162.0,6495.0,6739.0,6924.0,7136.0,7484.0,7904.0,8525.0,9198.0,9831.0,10128.0,10531.0,10694.0,11620,11726,11498,12268,12072,11756,12390,13063,13450,14256,15959,16913,17806,18775,19842,20989
52,El Salvador,2137.0,2181.0,2152.0,2258.0,2356.0,2426.0,2454.0,2547.0,2649.0,2737.0,2925.0,3028.0,3269.0,3493.0,3687.0,3896.0,3957.0,4111.0,4229.0,4346.0,4462.0,4572.0,4689.0,4830.0,4979.0,5250.0,5622.0,5856.0,6069.0,5955.0,6128.0,6466.0,6541,6877,7233,7598,8039,8454,8820,9149,8460,9668,10576,11089,11440,11803,12203,12621
53,Equatorial Guinea,351.0,384.0,387.0,390.0,380.0,417.0,396.0,409.0,421.0,420.0,434.0,429.0,565.0,618.0,712.0,887.0,1329.0,3225.0,3912.0,4817.0,9957.0,15645.0,18246.0,20431.0,26216.0,28002.0,29389.0,33238.0,38109.0,37129.0,32711.0,34024.0,37303,34531,33483,23903,20353,22450,20795,19327,18115,17687,19433,18917,16449,15865,14976,14691
54,Eritrea,,,,,,,,,,,,,750.0,874.0,1090.0,1146.0,1278.0,1403.0,1440.0,1443.0,1262.0,1354.0,1356.0,1284.0,1279.0,1302.0,1288.0,1306.0,1049.0,1163.0,1284.0,1625.0,1669,1507,1992,1589,1701,1537,1759,1835,1822,1923,2078,2175,2243,2308,2377,2448
55,Estonia,,,,,,,,,,,,,,7473.0,7682.0,8172.0,8863.0,10309.0,10983.0,11058.0,12389.0,13514.0,14747.0,16283.0,17965.0,20410.0,23231.0,25784.0,24997.0,21519.0,22360.0,24557.0,25996,27465,28928,29184,31310,33903,35901,37770,37939,42637,46126,48644,51582,54476,57403,60515
