Country,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Switzerland,CHE,"56982,4609715381","55759,3381902546","55123,8383797844","54555,2787822444","54809,335298076","54706,1015073424","54721,7149782014","55824,5124855607","57345,3311137561","58021,4359714063","59980,3309146065","60541,1168104481","60040,8774112494","59577,7622087745","60768,2045734865","62040,4395660128","64163,8050397136","66083,4718897397","67081,2997981076","64726,3712845064","66133,288392898","66587,848851125","66661,4927508349","67080,3673569404","67824,0830929271","68159,2221142537","68813,6403939646","69103,570264696","70558,5630191075","70857,0890798496","68670,2394154478","71032,8412048308"
Chile,CHL,"9701,8237908064","10290,0396601385","11256,2094833245","11812,6493788658","12221,5077027169","13122,9463422861","13825,1561998113","14652,7751930939","15074,5801101413","14855,3571822158","15415,7542853766","15725,6011594356","16053,6546085706","16636,6537463516","17571,024797895","18415,7549895934","19339,487624585","20140,5296504463","20695,5625606217","20255,0987836444","21225,1038566237","22323,7230847248","23467,9787261648","24011,5910135613","24197,1832800794","24464,7456624553","24599,3746330388","24546,9124208604","25071,9900691942","24816,6110833991","23017,6893554306","25449,13065237"
China,CHN,"1423,8963479071","1534,7052715586","1731,6572154928","1949,5342682294","2178,9240567705","2391,4771155819","2601,3634260793","2812,7111346022","3004,4273415473","3206,7300257059","3451,6792309345","3712,3381323494","4024,3556966433","4400,8251834099","4817,2118445186","5334,6466393784","5979,7817118214","6795,1740123878","7412,8743634863","8069,3546383863","8884,5880312245","9680,0976996151","10370,7265716763","11101,9389299998","11851,4042175719","12612,3516512474","13399,1373202686","14243,5326108474","15133,9956182401","15977,763827981","16296,7788985733","17602,6960578959"
Cote d'Ivoire,CIV,"4276,7057145795","4119,7843538152","3959,5616632319","3810,0436298395","3705,7504397769","3831,7156025625","3985,4022684101","4220,4853257884","4255,1754247633","4176,5971391677","4052,9819384192","3863,1667581486","3664,5194279043","3407,9788334118","3435,2802753629","3391,7118160832","3410,9979123113","3374,8476230298","3461,7117463055","3511,292506296","3673,1812824372","3404,5246019183","3589,4217137941","3894,5154894983","4162,0243577638","4347,7777131951","4541,1949075434","4750,9364509058","4949,6147192485","5126,634114635","5098,5598325698","5325,0304819601"
Cameroon,CMR,"3483,1868621115","3251,7550361467","3059,792361399","2736,2826139305","2709,0800454372","2710,938075197","2749,5200344575","2798,5773576394","2854,3700931493","2905,1311570511","2937,9918727385","2985,5779058306","3036,767702268","3116,1528201254","3245,4958926853","3228,3611605909","3261,4516554282","3309,2822952258","3308,319907928","3298,4074519733","3298,6245792749","3314,8982341617","3371,9755326308","3442,2006267927","3530,2831910643","3614,7557160849","3667,3226747556","3691,0947236525","3732,5012476744","3756,5095616587","3665,5105811134","3700,464289113"
"Congo, Dem. Rep.",COD,"1750,169738689","1550,7637045835","1346,7472222567","1128,5931446905","1034,1233869869","998,6883138649","969,8086629699","900,9677964178","865,6066120333","805,2778813913","728,2071969025","691,7091451595","690,65960751","708,0287711226","733,5418969983","754,6644432574","769,8871446337","792,1908849449","815,0118569852","811,9273451847","841,8562871505","870,0738055819","900,9789904438","944,6402474678","999,072133543","1032,5718648829","1021,3271983586","1023,5398331529","1048,2464468071","1059,8921113672","1044,0712138463","1073,6432710427"
"Congo, Rep.",COG,"5007,3192447228","4986,699204604","4978,3508384467","4790,4611574547","4400,0202972813","4453,4308382763","4522,0084537284","4402,4080946661","4470,3470745821","4240,1559969383","4390,5630570648","4389,3537121176","4484,2805853664","4397,3305589796","4398,20377814","4571,793116655","4755,0302147922","4280,0246690987","4401,6645316141","4720,4146745723","4977,9731145479","4925,3769025399","5267,0496167341","5105,1698378971","5319,3872487979","5009,4322669125","4363,7539249428","4073,9260852756","3786,4119996175","3695,06169357","3384,6543353218","3234,3929719276"
Colombia,COL,"8434,9593357498","8430,2229893672","8598,9920206797","8885,1868452092","9220,5019933904","9518,2601410311","9538,2725510317","9691,0283237151","9578,6560118484","9023,6212332315","9138,3189151309","9146,4048517545","9232,6273949833","9453,3285557798","9816,2775883076","10150,7079222393","10692,7276529183","11272,5779798286","11507,5258254891","11507,7171127214","11890,2030772166","12578,0156267561","12934,965751944","13465,0750436526","13938,2315166162","14215,6882521068","14358,1682181588","14334,9146083622","14426,4343821408","14616,1351241706","13387,7011627869","14648,5921839864"
Comoros,COM,"2922,7122521189","2695,2560740191","2856,0085641707","2876,2837550633","2666,045371812","2703,5843510277","2611,8217465678","2659,2739778366","2636,3443078911","2633,5657555776","2863,1518498393","2871,1968532953","2878,5343592749","2881,9607066093","2881,5667436229","2905,6891826399","2923,5323007444","2888,4466340081","2942,9908456034","2976,7794541823","3025,5173837624","3084,8265854417","3115,2380326356","3185,3196971005","3183,15703112","3150,8776237969","3185,6296637039","3240,1791702029","3294,8319720658","3290,6505267659","3222,374089296","3228,5268583002"
Cabo Verde,CPV,"1620,9842194765","1607,7674401116","1740,535717395","1844,7643452091","2144,4139456857","2391,2603832528","2601,7137003804","2826,222935351","3110,930425992","3387,6224219975","3798,6798595474","3819,2204965059","3957,9846053204","4064,3798593207","4419,0526087191","4664,6592557801","4975,9183960796","5664,3891970079","5974,7750707028","5838,2153922511","5860,4983024996","6020,2231512836","6013,0550744244","5993,1189958199","5961,9962277388","5955,6067278546","6166,3139716993","6320,3420963092","6534,4604087977","6835,078829047","5768,5385679795","6114,1332865953"
